date,delta_rel,omicron_rel,ba1_rel,ba2_rel,new_cases_smoothed,delta_abs,omicron_abs,ba1_abs,ba2_abs,delta_abs_fit,omicron_abs_fit,ba1_abs_fit,ba2_abs_fit,new_cases_smoothed_fit,omicron_rel_fit,ba1_rel_fit,ba2_rel_fit,delta_rel_fit
2022-01-02,0.2690996954881723,0.7289122329412511,0.721697570386544,0.004858949951644666,28448.857,7655.578755686559,20736.71988049634,20531.470977174227,138.23157234449602,10803.614492473691,37547.99600072783,35235.323249973364,2258.7402880015775,48351.610493201515,0.7765614344119369,0.7287311196165355,0.04671489253329355,0.2234385655880632
2022-01-03,0.344827178137496,0.6529118399503592,0.643631085574486,0.005794550816738343,32915.0,11349.986568395681,21490.593211966072,21185.117181684207,190.72764013294255,9687.440641003728,39131.565159245816,36559.38484851159,2430.2068787813796,48819.00580024954,0.801564155553651,0.7488760626977928,0.049779933838164266,0.198435844446349
2022-01-04,0.3677449893634635,0.6290452621209761,0.6128068859867222,0.012435917040647261,37330.286,13728.02562800505,23482.439541921005,22876.25631665373,464.23633979963586,8665.381465729723,40781.92060589914,37933.201606220224,2614.6899247551783,49447.30207162886,0.8247552221721393,0.7671440102287194,0.05287831317808937,0.17524477782786085
2022-01-05,0.3344411608244646,0.6603662750618255,0.6431874822638245,0.0144101692420241,36956.143,12359.65536451491,24404.590493562155,23769.72857035186,532.5442751624443,7733.867626582671,42501.87902113332,39358.64320640315,2813.1775373973232,50235.74664771599,0.8460485183823918,0.7834788140486934,0.055999516780850446,0.1539514816176082
2022-01-06,0.26525113651214677,0.7291900234866165,0.7101481879574892,0.016090074029386784,39390.429,10448.356059951024,28723.1078476579,27973.04177721813,633.794918659304,6888.489136338639,44294.375877573395,40837.64959071962,3026.732838180759,51182.86501391204,0.8654141550210939,0.7978773673497863,0.05913566654305227,0.13458584497890605
2022-01-07,0.2329459983210754,0.7617451162615367,0.7398775342168559,0.017834452040278708,43798.571,10202.701846631502,33363.34755848417,32405.578713701892,781.123513932242,6124.244233069115,46162.470450028566,42372.23359933016,3256.4996527724875,52286.71468309768,0.8828718868609878,0.8103824050935735,0.06228158859300431,0.11712811313901218
2022-01-08,0.20419880367830903,0.7915593755867016,0.7701112353031676,0.018736887344564638,47964.286,9794.249820484267,37966.58027662198,36937.83554189443,898.7014233444788,5435.759383809101,48109.35103679133,43964.48371025275,3503.7086374895985,53545.11042060043,0.898482618840248,0.8210737332486344,0.06543470748248967,0.10151738115975197
2022-01-09,0.16623986107169028,0.8281930068230315,0.8067292899122268,0.018748569815017723,49279.0,8192.134113751825,40812.52318323217,39754.812677584625,923.9107719142584,4817.476680724473,50138.34040114252,45616.56688165801,3769.68387082978,54955.817081867,0.9123390946303657,0.8300589328642604,0.06859481072247782,0.08766090536963426
2022-01-10,0.16079027762692089,0.8308358391110224,0.8052856535590478,0.02072709931897622,44508.286,7156.499662638396,36979.079146203374,35841.884180303015,922.5276644393988,4263.807835970638,52252.90144234927,47330.731500970796,4055.8499453813024,56516.709278319904,0.9245566861479274,0.8374643907147493,0.0717637314198183,0.0754433138520727
2022-01-11,0.157058266257435,0.833956106487909,0.806669537834989,0.02042682254212103,52846.286,8299.94605730456,44071.48291490649,42629.48910391565,1079.481706132175,3769.2561292816717,54456.64310583459,49109.31044479263,4363.739598097538,58225.89923511626,0.9352649563373611,0.8434272564256873,0.07494499278537119,0.06473504366263903
