date,alpha,beta,eta,lambda,epsilon,gamma,iota,delta,mu,omicron,alpha_rel,beta_rel,eta_rel,lambda_rel,epsilon_rel,gamma_rel,iota_rel,delta_rel,mu_rel,omicron_rel,other,other_rel,sum,ba1,ba1_rel,ba2,ba2_rel,ba3,ba3_rel
2021-05-05,539,23,4,0,0,3,1,20,1,0,0.8408736349453978,0.0358814352574103,0.0062402496099844,0.0,0.0,0.0046801872074883,0.0015600624024961,0.031201248049921998,0.0015600624024961,0.0,50,0.078003120124805,641,0,0.0,0,0.0,0,0.0
2021-05-06,617,6,8,0,0,4,0,13,0,0,0.902046783625731,0.008771929824561403,0.011695906432748537,0.0,0.0,0.005847953216374269,0.0,0.019005847953216373,0.0,0.0,36,0.05263157894736842,684,0,0.0,0,0.0,0,0.0
2021-05-07,772,16,17,1,0,10,0,16,0,0,0.8802736602052451,0.018244013683010263,0.019384264538198404,0.0011402508551881414,0.0,0.011402508551881414,0.0,0.018244013683010263,0.0,0.0,45,0.05131128848346636,877,0,0.0,0,0.0,0,0.0
2021-05-08,281,8,8,0,0,9,0,12,0,0,0.8144927536231884,0.02318840579710145,0.02318840579710145,0.0,0.0,0.02608695652173913,0.0,0.034782608695652174,0.0,0.0,27,0.0782608695652174,345,0,0.0,0,0.0,0,0.0
2021-05-09,113,2,0,0,0,4,0,2,1,0,0.889763779527559,0.015748031496062992,0.0,0.0,0.0,0.031496062992125984,0.0,0.015748031496062992,0.007874015748031496,0.0,5,0.03937007874015748,127,0,0.0,0,0.0,0,0.0
2021-05-10,915,10,4,0,0,1,0,15,3,0,0.9131736526946108,0.00998003992015968,0.003992015968063872,0.0,0.0,0.000998003992015968,0.0,0.014970059880239521,0.0029940119760479044,0.0,54,0.05389221556886228,1002,0,0.0,0,0.0,0,0.0
2021-05-11,543,13,10,2,0,5,0,15,1,0,0.8564668769716088,0.02050473186119874,0.015772870662460567,0.0031545741324921135,0.0,0.007886435331230283,0.0,0.02365930599369085,0.0015772870662460567,0.0,45,0.07097791798107256,634,0,0.0,0,0.0,0,0.0
2021-05-12,764,12,7,1,0,2,0,19,1,0,0.8662131519274376,0.013605442176870748,0.007936507936507936,0.0011337868480725624,0.0,0.0022675736961451248,0.0,0.021541950113378686,0.0011337868480725624,0.0,76,0.08616780045351474,882,0,0.0,0,0.0,0,0.0
2021-05-13,262,3,4,0,0,2,0,11,0,0,0.8851351351351351,0.010135135135135136,0.013513513513513514,0.0,0.0,0.006756756756756757,0.0,0.037162162162162164,0.0,0.0,14,0.0472972972972973,296,0,0.0,0,0.0,0,0.0
2021-05-14,659,6,5,3,0,1,0,27,2,0,0.8881401617250674,0.008086253369272238,0.006738544474393531,0.004043126684636119,0.0,0.0013477088948787063,0.0,0.03638814016172507,0.0026954177897574125,0.0,39,0.05256064690026954,742,0,0.0,0,0.0,0,0.0
2021-05-15,547,12,7,0,0,2,0,18,0,0,0.9177852348993288,0.020134228187919462,0.01174496644295302,0.0,0.0,0.003355704697986577,0.0,0.030201342281879196,0.0,0.0,10,0.016778523489932886,596,0,0.0,0,0.0,0,0.0
2021-05-16,144,0,1,1,0,3,0,6,0,0,0.8944099378881988,0.0,0.006211180124223602,0.006211180124223602,0.0,0.018633540372670808,0.0,0.037267080745341616,0.0,0.0,6,0.037267080745341616,161,0,0.0,0,0.0,0,0.0
2021-05-17,899,5,2,0,0,2,0,23,1,0,0.9287190082644629,0.005165289256198347,0.002066115702479339,0.0,0.0,0.002066115702479339,0.0,0.023760330578512397,0.0010330578512396695,0.0,36,0.0371900826446281,968,0,0.0,0,0.0,0,0.0
2021-05-18,641,7,1,1,0,4,0,24,1,0,0.8915159944367177,0.009735744089012517,0.0013908205841446453,0.0013908205841446453,0.0,0.005563282336578581,0.0,0.03337969401947149,0.0013908205841446453,0.0,40,0.055632823365785816,719,0,0.0,0,0.0,0,0.0
2021-05-19,699,12,9,0,1,9,0,21,1,0,0.8893129770992366,0.015267175572519083,0.011450381679389313,0.0,0.001272264631043257,0.011450381679389313,0.0,0.026717557251908396,0.001272264631043257,0.0,34,0.043256997455470736,786,0,0.0,0,0.0,0,0.0
2021-05-20,567,2,2,0,0,4,0,19,0,0,0.9028662420382165,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.006369426751592357,0.0,0.030254777070063694,0.0,0.0,34,0.054140127388535034,628,0,0.0,0,0.0,0,0.0
2021-05-21,573,1,0,0,0,8,0,13,0,0,0.925686591276252,0.0016155088852988692,0.0,0.0,0.0,0.012924071082390954,0.0,0.0210016155088853,0.0,0.0,24,0.03877221324717286,619,0,0.0,0,0.0,0,0.0
2021-05-22,263,1,0,0,0,2,0,19,1,0,0.8708609271523179,0.0033112582781456954,0.0,0.0,0.0,0.006622516556291391,0.0,0.06291390728476821,0.0033112582781456954,0.0,16,0.052980132450331126,302,0,0.0,0,0.0,0,0.0
